ID,URL,Title,Author,Date
0,https://www.theverge.com/2023/4/11/23678458/alibaba-has-its-own-chatgpt-competitor,Alibaba has its own ChatGPT competitor. - The Verge,James Vincent,2023/04/11
1,https://www.theverge.com/2023/4/11/23678456/apples-27-inch-mini-led-monitor-now-rumored-for-2024,Apple’s 27-inch Mini LED monitor now rumored for 2024. - The Verge,Thomas Ricker,2023/04/11
2,https://www.theverge.com/2023/4/11/23678446/microsoft-is-teasing-plug-ins-for-bing-chat,Microsoft is teasing plug-ins for Bing Chat. - The Verge,Tom Warren,2023/04/11
3,https://www.theverge.com/2023/4/11/23678434/jack-black-singing-peaches-is-everything,Jack Black singing Peaches is everything. - The Verge,Thomas Ricker,2023/04/11
4,https://www.theverge.com/2023/4/10/23678221/cyberpunk-2077s-new-overdrive-mode-makes-the-game-look-incredible,Cyberpunk 2077’s new “Overdrive Mode” makes the game look incredible. - The Verge,Jay Peters,2023/04/11
5,https://www.theverge.com/2023/4/10/23678195/katie-cotton-apples-former-pr-chief-has-died,"Katie Cotton, Apple’s former PR chief, has died. - The Verge",Jay Peters,2023/04/11
6,https://www.theverge.com/2023/4/10/23678096/spacex-updates-its-mars-mission-demo-reel,SpaceX updates its Mars mission demo reel. - The Verge,Richard Lawler,2023/04/10
7,https://www.theverge.com/2023/4/10/23677891/metas-paid-verification-service-requires-your-legal-name-to-be-public,Meta’s paid verification service requires your legal name to be public. - The Verge,Mia Sato,2023/04/10
8,https://www.theverge.com/2023/4/10/23677949/x-ray-vision-magnetic-battery-pack-that-doubles-as-a-game-system-edition,"X-ray vision, magnetic-battery-pack-that-doubles as-a-game-system edition. - The Verge",Sean Hollister,2023/04/10
9,https://www.theverge.com/2023/4/10/23677919/a-new-free-book-about-steve-jobs-is-coming-out-tomorrow,"A new, free book about Steve Jobs is coming out tomorrow. - The Verge",Jay Peters,2023/04/10
10,https://www.theverge.com/2023/4/10/23677905/uh-oh-gemini,"Uh oh, Gemini. - The Verge",Elizabeth Lopatto,2023/04/10
11,https://www.theverge.com/2023/4/10/23677586/system-update,System update. - The Verge,Richard Lawler,2023/04/10
12,https://www.theverge.com/2023/4/10/23677663/hollywoods-writers-could-strike-and-you-should-be-paying-attention,"Hollywood’s writers could strike, and you should be paying attention. - The Verge",Charles Pulliam-Moore,2023/04/10
13,https://www.theverge.com/2023/4/10/23677635/robotaxis-are-blocking-bus-lanes-and-delaying-riders-in-san-francisco,Robotaxis are blocking bus lanes and delaying riders in San Francisco. - The Verge,Andrew J. Hawkins,2023/04/10
14,https://www.theverge.com/2023/4/10/23677570/30-to-50-feral-hogs-try-3-4-million,30 to 50 feral hogs? Try 3.4 million. - The Verge,Kevin Nguyen,2023/04/10
15,https://www.theverge.com/2023/4/10/23677619/because-tom-wambsgans-uses-a-samsung-phone,Because Tom Wambsgans uses a Samsung phone. - The Verge,Dan Seifert,2023/04/10
16,https://www.theverge.com/2023/4/10/23677588/i-love-cars-history-will-hate-me-for-it,I love cars. History will hate me for it. - The Verge,T.C. Sottek,2023/04/10
17,https://www.theverge.com/2023/4/10/23677536/the-legend-of-zelda-tears-of-physical-therapy,The Legend of Zelda: Tears of Physical Therapy - The Verge,Ash Parrish,2023/04/10
18,https://www.theverge.com/2023/4/10/23677552/dead-space-ps1-style,"Dead Space, PS1-style. - The Verge",Adi Robertson,2023/04/10
19,https://www.theverge.com/2023/4/10/23677549/want-to-get-an-idea-of-what-the-iphone-15-pro-might-look-like-in-your-hands,Want to get an idea of what the iPhone 15 Pro might look like in your hands? - The Verge,Jay Peters,2023/04/10
20,https://www.theverge.com/2023/4/10/23677478/i-badly-want-this-ingenious-3d-printed-clock,I badly want this ingenious 3D-printed clock. - The Verge,Sean Hollister,2023/04/10
21,https://www.theverge.com/2023/4/10/23677294/the-swifties-are-in-mourning-and-in-denial,The Swifties are in mourning — and in denial. - The Verge,Mia Sato,2023/04/10
22,https://www.theverge.com/2023/4/10/23677374/if-you-want-to-write-in-private-the-technology-you-are-looking-for-is-a-paper-notebook,"If you want to write in private, the technology you are looking for is a paper notebook. - The Verge",Elizabeth Lopatto,2023/04/10
23,https://www.theverge.com/2023/4/10/23677296/cabinet-of-the-apes,Cabinet of the apes. - The Verge,Andrew Webster,2023/04/10
24,https://www.theverge.com/2023/4/11/23678472/android-auto-app-archive-feature-release-storage,Android finally launches ‘auto-archive’ tool for apps,Jess Weatherbed,2023/04/11
25,https://www.theverge.com/2023/4/11/23678471/spike-english-bulldog-mini-bmw-aceman-countryman-cooper-personal-assistant,Mini’s cars are getting an ‘intelligent personal assistant’ named Spike,Jon Porter,2023/04/11
26,https://www.theverge.com/2023/4/11/23677443/fortnite-update-attack-on-titan-odm-gear,Fortnite’s new update adds Attack on Titan gear,Andrew Webster,2023/04/11
27,https://www.theverge.com/2023/4/11/23678438/microsoft-teams-snapchat-lenses-feature,Microsoft Teams now has Snapchat’s Lenses for video calls,Tom Warren,2023/04/11
28,https://www.theverge.com/2023/4/11/23678441/pc-shipment-fall-covid-pandemic-work-from-home-supply-chains-economic-uncertainty,"PC shipments fell sharply last quarter, with Apple among hardest hit",Jon Porter,2023/04/11
29,https://www.theverge.com/2023/4/10/23677550/star-wars-bad-batch-third-final-season-2024-disney,Star Wars: The Bad Batch will return for a third and final season in 2024,Emma Roth,2023/04/10
30,https://www.theverge.com/2023/4/10/23677113/bitcoin-mine-investigation-energy-emissions-electricity-bills-new-york-times,"Bitcoin’s insatiable appetite for energy is driving up pollution and costs for Americans, report finds",Justine Calma,2023/04/10
31,https://www.theverge.com/2023/4/10/23677445/stranger-things-animated-series-netflix,Netflix is making a Stranger Things animated series,Jay Peters,2023/04/10
32,https://www.theverge.com/2023/4/10/23677141/youtube-premium-subscribers-higher-quality-video-1080p,YouTube is giving Premium subscribers higher-quality video than everyone else,Emma Roth,2023/04/10
33,https://www.theverge.com/2023/4/10/23677232/new-york-times-digits-math-puzzle-game-nyt,You can try The New York Times’ new math-based puzzle game right now,Jay Peters,2023/04/10
34,https://www.theverge.com/2023/4/10/23676930/teslas-megafactory-megapack-shanghai-china-announcement,Tesla’s next Megapack battery storage factory will be in Shanghai,Umar Shakir,2023/04/10
35,https://www.theverge.com/2023/4/10/23676933/nintendo-switch-mario-games-bose-soundlink-flex-hori-split-pad-apple-deal-sale,Save $20 on a variety of Super Mario games for the Switch,Antonio G. Di Benedetto,2023/04/10
